Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
pp71_D112_RM19,0,0.086838535,0.009703271,0.058886701,0.058035837,0.026777,0.118186923,0,0,0,0.087907891,0,0.129837522,0.094840941,0,0,0,0,0,0.023100467,0,0.305884912,0,0.449855747,0.896958583
pp71_D112_RM17,0.00242896,0.177705573,0.031205539,0.083635505,0.159855493,0.039898306,0.094867452,0,0,0,0.103257166,0,0.106245141,0.037996206,0,0,0,0,0,0,0,0.162904657,0,0.372141234,0.934902644
TB6Ag_D560_RM10,0.003101875,0.13229144,0.006636207,0.063415388,0.18068154,0.079771797,0.194353976,0,0,0,0.227347139,0,0.077147225,0.004559227,0,0,0,0.002663644,0,0,0,0.028030543,0,0.446970279,0.898105566
TB6Ag_D560_RM11,0.05949231,0.078608122,0.006258981,0.039570304,0.066920104,0.090939939,0.07947886,0,0,0,0.140188091,0,0.077030246,0.045456638,0,0.010423321,0,0,0,0.036436652,0,0.269196433,0,0.366559593,0.941511483
TB6Ag_D560_RM12,0.01658582,0.049184626,0.00426932,0.112608684,0.064151775,0.044918202,0.196226206,0,0,0,0.26487403,0,0.092635053,0.017191504,0,0.015254748,0,0,0,0.012172621,0,0.109927411,0,0.298488343,0.980685049
TB6Ag_D560_RM3,0,0.157017008,0.007548818,0.160856701,0.037131762,0.079837407,0.175888596,0,0,0,0.208168634,0,0.058882672,0.008102904,0,0.016443044,0.000738857,0.000543475,0,0.002802093,0,0.08603803,0,0.307892956,0.974663625
TB6Ag_D560_RM1,0,0.097425982,0.000648779,0.082106678,0.206972348,0.164145381,0.105536127,0,0,0,0.196130745,0,0.070479537,0,0,0.007005738,0,0.005059152,0,0,0,0.064489533,0,0.409504057,0.923382807
TB6Ag_D560_RM2,0.017461602,0.070601626,0.00269204,0.052391302,0.272941759,0.135502886,0.118445134,0,0,0,0.183366085,0,0.055491813,0.002605221,0,0.008212438,0,0.017063683,0.000721214,0,0,0.062503197,0,0.417012957,0.918111825
TB6Ag_D560_RM7,0.00529033,0.051633082,0.102953276,0.086338728,0.153390312,0.098181467,0.090068669,0,0,0,0.136592519,0,0.055237575,0.026434084,0,0,0,0,0,0.008182103,0,0.185697855,0,0.359381782,0.94266011
TB6Ag_D560_RM4,0.025568316,0.080760318,0.055797407,0.06908368,0.07537251,0.064827978,0.121667266,0,0,0,0.172490323,0,0.053823125,0.078255659,0,0.024574948,0,0,0,0.061129269,0,0.116649199,0,0.354777543,0.938836262
TB6Ag_D560_RM6,0.035962683,0.064755343,0.005445671,0.144509366,0.0593728,0.05970966,0.160520319,0,0,0,0.180064928,0,0.128111496,0.014010264,0,0.009941153,0,0.000281402,0,0.015162941,0,0.122151974,0,0.32619637,0.959865946
